wafer_id,die_x,die_y,lot_id,temp_c,vdd_v,vth_n_mv,vth_p_mv,idsat_n_ua,idsat_p_ua,ioff_na,fmax_mhz,leakage_ua,speed_bin,pass_flag
W01,0,0,LOT-A,25,0.75,312,-298,520,245,12.3,2340,0.89,FAST,1
W01,0,1,LOT-A,25,0.75,318,-305,515,240,11.8,2310,0.92,FAST,1
W01,0,2,LOT-A,25,0.75,325,-290,508,238,13.1,2280,0.87,TYP,1
W01,0,3,LOT-A,25,0.75,330,-312,495,230,15.2,2250,0.95,TYP,1
W01,1,0,LOT-A,25,0.75,320,-300,510,242,12.5,2290,0.88,FAST,1
W01,1,1,LOT-A,25,0.75,335,-308,490,228,14.8,2230,0.98,TYP,1
W01,1,2,LOT-A,25,0.75,345,-320,478,215,18.2,2180,1.12,SLOW,1
W01,1,3,LOT-A,25,0.75,328,-295,502,235,13.5,2270,0.91,TYP,1
W01,2,0,LOT-A,25,0.75,315,-303,518,243,11.2,2320,0.86,FAST,1
W01,2,1,LOT-A,25,0.75,340,-315,485,222,16.7,2200,1.05,SLOW,1
W01,2,2,LOT-A,25,0.75,322,-302,507,237,12.9,2285,0.90,TYP,1
W01,2,3,LOT-A,25,0.75,360,-330,462,198,22.1,2120,1.35,SLOW,1
W01,3,0,LOT-A,25,0.75,316,-301,516,240,11.5,2315,0.87,FAST,1
W01,3,1,LOT-A,25,0.75,332,-310,493,228,14.5,2240,0.94,TYP,1
W01,3,2,LOT-A,25,0.75,355,-325,468,205,20.3,2140,1.28,SLOW,1
W01,3,3,LOT-A,25,0.75,318,-296,511,241,12.0,2305,0.88,FAST,1
W02,0,0,LOT-A,25,0.75,314,-299,519,244,11.0,2330,0.85,FAST,1
W02,0,1,LOT-A,25,0.75,326,-307,505,232,13.2,2260,0.91,TYP,1
W02,0,2,LOT-A,25,0.75,350,-318,472,210,19.5,2150,1.22,SLOW,1
W02,0,3,LOT-A,25,0.75,320,-300,512,238,12.1,2295,0.89,FAST,1
W02,1,0,LOT-A,25,0.75,337,-313,488,225,15.8,2210,1.02,TYP,1
W02,1,1,LOT-A,25,0.75,362,-332,458,195,23.0,2110,1.40,SLOW,1
W02,1,2,LOT-A,25,0.75,318,-297,513,242,11.7,2310,0.88,FAST,1
W02,1,3,LOT-A,25,0.75,328,-306,500,230,13.8,2265,0.93,TYP,1
W02,2,0,LOT-A,25,0.75,358,-328,465,200,21.5,2130,1.32,SLOW,1
W02,2,1,LOT-A,25,0.75,315,-300,517,241,11.3,2320,0.86,FAST,1
W02,2,2,LOT-A,25,0.75,330,-309,497,228,14.2,2250,0.95,TYP,1
W02,2,3,LOT-A,25,0.75,322,-303,508,236,12.7,2280,0.90,TYP,1
W02,3,0,LOT-A,25,0.75,353,-323,470,208,20.0,2145,1.25,SLOW,1
W02,3,1,LOT-A,25,0.75,319,-298,514,243,11.4,2318,0.87,FAST,1
W02,3,2,LOT-A,25,0.75,327,-305,502,231,13.4,2262,0.92,TYP,1
W02,3,3,LOT-A,25,0.75,342,-316,482,218,17.0,2195,1.08,SLOW,1
W03,0,0,LOT-B,25,0.80,330,-310,495,225,15.0,2220,1.00,TYP,1
W03,0,1,LOT-B,25,0.80,338,-318,488,218,16.5,2190,1.10,TYP,1
W03,0,2,LOT-B,25,0.80,365,-340,452,188,24.0,2090,1.50,FAIL,0
W03,0,3,LOT-B,25,0.80,325,-305,505,230,13.0,2265,0.92,TYP,1
W03,1,0,LOT-B,25,0.80,318,-295,515,245,11.0,2330,0.85,FAST,1
W03,1,1,LOT-B,25,0.80,345,-320,478,212,18.0,2170,1.15,SLOW,1
W03,1,2,LOT-B,25,0.80,328,-308,498,228,14.0,2255,0.94,TYP,1
W03,1,3,LOT-B,25,0.80,360,-330,460,195,22.5,2110,1.38,SLOW,1
